Vernier Format 2
Sin título.cmbl 8/09/2026 13:58:47 .
Último
Tiempo	Angulo	Velocidad 1	Aceleración 1	Posición	Velocidad 2	Aceleración 2
t	Angulo	v 1	a 1	x	v 2	a 2
s	rad	rad/s	rad/s²	m	m/s	m/s²

2.4	-11.3970000155	-5.60444615363	-1.27667602692	0.429436	0.107902083333	-1.30983125
2.5	-11.9729586687	-5.47354645973	-0.16160456037	0.430122	-0.0524027777778	-1.36018290895
2.6	-12.4791041518	-5.42506509162	-0.890171786704	0.4162305	-0.188411805556	-1.09172453704
2.7	-13.0201562199	-5.69171261623	-1.30495682499	0.3901625	-0.289453888889	-0.56400474537
2.8	-13.6310214581	-5.85170113099	-0.111776487589	0.353633	-0.324611388889	0.203920910494
2.9	-14.2069801112	-5.80806789969	2.12105985485	0.3157315	-0.254201111111	0.989896412037
3	-14.8178453494	-5.45900204929	4.44547211484	0.293951	-0.09132375	1.4007288966
3.1	-15.341444125	-4.72693339082	4.60168985653	0.2982385	0.0731733333333	1.30928869599
3.2	-15.742869853	-4.21787902565	1.4867619554	0.3140165	0.187744861111	0.962556983025
3.3	-16.1268422884	-4.31968989869	-2.78498525704	0.3376835	0.269731388889	0.496092862654
3.4	-16.5631746014	-4.92085886326	-5.42452640975	0.3706115	0.305412916667	-0.158849228395
3.5	-17.086773377	-5.73534584753	-4.56128871644	0.4066265	0.251771527778	-0.908619174383
3.6	-17.7499984928	-6.13289306604	-0.812062915859	0.430465	0.0998034722222	-1.39277584877
3.7	-18.395770316	-5.7692828052	1.76552982204	0.4278925	-0.0732209722222	-1.38458460648
3.8	-18.9019157991	-5.38143186032	0.677392448883	0.4110855	-0.203942083333	-1.02626076389
3.9	-19.4080612822	-5.55596478552	-1.28071614093	0.38416	-0.291264166667	-0.455467476852
4	-20.0014732279	-5.86624554143	-1.12045828523	0.348831	-0.316274583333	0.328059915123
4.1	-20.5948851735	-6.01653778257	1.33458432772	0.3109295	-0.232144305556	1.12663325617
4.2	-21.2581102893	-5.6383831113	4.01856673453	0.2930935	-0.0521169444444	1.51229652778
4.3	-21.7642557724	-4.88692190558	3.47988486663	0.3023545	0.120240555556	1.35567044753
4.4	-22.1831347928	-4.63481879141	-0.0875358035337	0.32242	0.240004722222	0.888531442901
4.5	-22.6369203984	-4.94994768413	-3.23882473075	0.352947	0.312701666667	0.213964776235
4.6	-23.1430658814	-5.57050919595	-3.46372441059	0.391706	0.300506111111	-0.608428009259
4.7	-23.7713844122	-5.96805641446	-0.541375277239	0.4237765	0.176549722222	-1.25081195988
4.8	-24.4171562354	-5.63353497449	2.03352405132	0.4309795	0.00471625	-1.4161056713
4.9	-24.905848426	-5.19720266149	1.36959864913	0.4210325	-0.138867361111	-1.19406875
5	-25.3945406165	-5.27477285047	-0.230286498527	0.400281	-0.2461025	-0.76531875
5.1	-25.9530459772	-5.45415391248	-0.0511747774506	0.3688965	-0.306699166667	-0.155435108025
5.2	-26.5115513378	-5.41052068118	1.44097399663	0.33271	-0.291025972222	0.568411342593
5.3	-27.0526034059	-5.15356943019	2.87790787925	0.30184	-0.180884861111	1.14243348765
5.4	-27.558748889	-4.72693339082	3.06509982835	0.292579	-0.0244863888889	1.31836655093
5.5	-27.995081202	-4.35847499317	1.27128920824	0.2999535	0.110236388889	1.16728510802
5.6	-28.3965069299	-4.35362685636	-1.83286505553	0.3171035	0.216995138889	0.848819135802
5.7	-28.8328392429	-4.74632593806	-4.66363827134	0.3445435	0.295265833333	0.323865046296
5.8	-29.3215314335	-5.41536881799	-5.83123122001	0.38073	0.309414583333	-0.459133024691
5.9	-29.8974900867	-6.19591884458	-4.01587332519	0.4172595	0.207896111111	-1.24062253086
6	-30.61307508	-6.44802195876	-0.0592550054689	0.4309795	0.0166736111111	-1.55302777778
6.1	-31.2588469032	-6.02138591938	2.20590224905	0.417774	-0.155350416667	-1.29338260031
6.2	-31.7998989713	-5.69171261623	1.52581639082	0.3935925	-0.262728472222	-0.729192592593
6.3	-32.358404332	-5.70140888985	0.554842323936	0.3613505	-0.30998625	-0.020537654321
